Risk group,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
35-64 years,Females,Illawarra Shoalhaven LHD,01/02,133.6,108.4,163.1
35-64 years,Females,Illawarra Shoalhaven LHD,02/03,153.1,126.2,184.2
35-64 years,Females,Illawarra Shoalhaven LHD,03/04,145.2,119.7,174.7
35-64 years,Females,Illawarra Shoalhaven LHD,04/05,131.6,107.5,159.7
35-64 years,Females,Illawarra Shoalhaven LHD,05/06,135.4,111.2,163.6
35-64 years,Females,Illawarra Shoalhaven LHD,06/07,128.3,104.6,156
35-64 years,Females,Illawarra Shoalhaven LHD,07/08,125.2,102.3,151.9
35-64 years,Females,Illawarra Shoalhaven LHD,08/09,138.1,114.2,165.8
35-64 years,Females,Illawarra Shoalhaven LHD,09/10,186.6,158.6,218.2
35-64 years,Females,Illawarra Shoalhaven LHD,10/11,166,140.2,195.3
35-64 years,Females,Illawarra Shoalhaven LHD,11/12,187.9,160.8,218.6
35-64 years,Females,Illawarra Shoalhaven LHD,12/13,184.7,158.1,214.8
35-64 years,Females,Illawarra Shoalhaven LHD,13/14,177.6,151.5,207.2
35-64 years,Females,Illawarra Shoalhaven LHD,14/15,175.9,150,205.4
35-64 years,Females,Illawarra Shoalhaven LHD,15/16,171.8,145.7,201.5
35-64 years,Females,Illawarra Shoalhaven LHD,16/17,215.8,186.3,248.8
35-64 years,Females,Illawarra Shoalhaven LHD,17/18,195.8,167.7,227.4
35-64 years,Females,Illawarra Shoalhaven LHD,18/19,168.5,142.7,197.8
35-64 years,Females,Illawarra Shoalhaven LHD,19/20,161.7,135.8,191.2
35-64 years,Females,Illawarra Shoalhaven LHD,20/21,143.3,120.3,169.7
35-64 years,Females,Illawarra Shoalhaven LHD,21/22,112.4,92.6,135.6
35-64 years,Females,Western Sydney LHD,01/02,131.1,111.6,153
35-64 years,Females,Western Sydney LHD,02/03,108.3,90.9,127.9
35-64 years,Females,Western Sydney LHD,03/04,97.9,81.7,116.3
35-64 years,Females,Western Sydney LHD,04/05,110.5,93.6,129.5
35-64 years,Females,Western Sydney LHD,05/06,100.8,84.9,118.8
35-64 years,Females,Western Sydney LHD,06/07,119.6,102.6,138.7
35-64 years,Females,Western Sydney LHD,07/08,95.6,80.8,112.3
35-64 years,Females,Western Sydney LHD,08/09,106.2,90.8,123.5
35-64 years,Females,Western Sydney LHD,09/10,110.7,95.1,128.1
35-64 years,Females,Western Sydney LHD,10/11,112.1,96.6,129.4
35-64 years,Females,Western Sydney LHD,11/12,112.2,96.9,129.2
35-64 years,Females,Western Sydney LHD,12/13,127.8,111.6,145.8
35-64 years,Females,Western Sydney LHD,13/14,131.8,115.4,149.9
35-64 years,Females,Western Sydney LHD,14/15,119.1,103.6,136.2
35-64 years,Females,Western Sydney LHD,15/16,111,96.2,127.4
35-64 years,Females,Western Sydney LHD,16/17,127.5,111.7,144.9
35-64 years,Females,Western Sydney LHD,17/18,112.8,98.1,129.2
35-64 years,Females,Western Sydney LHD,18/19,107.9,93.6,123.7
35-64 years,Females,Western Sydney LHD,19/20,142,125.8,159.8
35-64 years,Females,Western Sydney LHD,20/21,95.9,82.7,110.7
35-64 years,Females,Western Sydney LHD,21/22,91,78.3,105.2
35-64 years,Females,Nepean Blue Mountains LHD,01/02,163.7,132.6,199.7
35-64 years,Females,Nepean Blue Mountains LHD,02/03,198.4,164.5,237.1
35-64 years,Females,Nepean Blue Mountains LHD,03/04,151.2,122.8,184.2
35-64 years,Females,Nepean Blue Mountains LHD,04/05,133.9,107.3,165.1
35-64 years,Females,Nepean Blue Mountains LHD,05/06,146.4,119.1,178.2
35-64 years,Females,Nepean Blue Mountains LHD,06/07,165.6,136.9,198.6
35-64 years,Females,Nepean Blue Mountains LHD,07/08,114.1,90.9,141.4
35-64 years,Females,Nepean Blue Mountains LHD,08/09,177.1,148.3,210
35-64 years,Females,Nepean Blue Mountains LHD,09/10,155.5,129.1,185.8
35-64 years,Females,Nepean Blue Mountains LHD,10/11,161.3,134.5,192
35-64 years,Females,Nepean Blue Mountains LHD,11/12,146.4,121,175.7
35-64 years,Females,Nepean Blue Mountains LHD,12/13,149,123,178.9
35-64 years,Females,Nepean Blue Mountains LHD,13/14,180.4,151.6,213.2
35-64 years,Females,Nepean Blue Mountains LHD,14/15,178.5,150.3,210.7
35-64 years,Females,Nepean Blue Mountains LHD,15/16,154.4,128.7,184.1
35-64 years,Females,Nepean Blue Mountains LHD,16/17,190.3,161.3,223.1
35-64 years,Females,Nepean Blue Mountains LHD,17/18,210.2,179.7,244.5
35-64 years,Females,Nepean Blue Mountains LHD,18/19,172.2,144.8,203.4
35-64 years,Females,Nepean Blue Mountains LHD,19/20,164.4,138.4,194
35-64 years,Females,Nepean Blue Mountains LHD,20/21,103.4,83.4,127.1
35-64 years,Females,Nepean Blue Mountains LHD,21/22,91.9,73.3,114.2
35-64 years,Females,Northern Sydney LHD,01/02,35.4,26.7,46
35-64 years,Females,Northern Sydney LHD,02/03,35.4,26.8,45.8
35-64 years,Females,Northern Sydney LHD,03/04,30,22.2,39.5
35-64 years,Females,Northern Sydney LHD,04/05,36.2,27.6,46.6
35-64 years,Females,Northern Sydney LHD,05/06,34.5,26.2,44.5
35-64 years,Females,Northern Sydney LHD,06/07,35.2,27,45.1
35-64 years,Females,Northern Sydney LHD,07/08,38,29.7,48
35-64 years,Females,Northern Sydney LHD,08/09,35.8,27.7,45.6
35-64 years,Females,Northern Sydney LHD,09/10,43.1,34.3,53.6
35-64 years,Females,Northern Sydney LHD,10/11,59,48.4,71.3
35-64 years,Females,Northern Sydney LHD,11/12,61.4,50.7,73.7
35-64 years,Females,Northern Sydney LHD,12/13,41.8,33.3,52
35-64 years,Females,Northern Sydney LHD,13/14,49,39.8,59.7
35-64 years,Females,Northern Sydney LHD,14/15,52.4,42.8,63.4
35-64 years,Females,Northern Sydney LHD,15/16,51.9,42.4,62.9
35-64 years,Females,Northern Sydney LHD,16/17,46.6,37.8,56.9
35-64 years,Females,Northern Sydney LHD,17/18,39.8,31.7,49.3
35-64 years,Females,Northern Sydney LHD,18/19,34.8,27.3,43.8
35-64 years,Females,Northern Sydney LHD,19/20,30.6,23.7,39
35-64 years,Females,Northern Sydney LHD,20/21,29.6,22.9,37.8
35-64 years,Females,Northern Sydney LHD,21/22,18.8,13.5,25.5
35-64 years,Females,Central Coast LHD,01/02,186.6,153.8,224.4
35-64 years,Females,Central Coast LHD,02/03,167.5,136.8,203.3
35-64 years,Females,Central Coast LHD,03/04,168.5,137.9,203.9
35-64 years,Females,Central Coast LHD,04/05,218.2,184,257.1
35-64 years,Females,Central Coast LHD,05/06,163.9,134.8,197.6
35-64 years,Females,Central Coast LHD,06/07,158.9,130.8,191.5
35-64 years,Females,Central Coast LHD,07/08,182.6,152.4,217.2
35-64 years,Females,Central Coast LHD,08/09,195,163.8,230.6
35-64 years,Females,Central Coast LHD,09/10,211.6,179.2,248.4
35-64 years,Females,Central Coast LHD,10/11,232.7,198.9,270.9
35-64 years,Females,Central Coast LHD,11/12,231.5,197.5,269.8
35-64 years,Females,Central Coast LHD,12/13,186,156.1,220.1
35-64 years,Females,Central Coast LHD,13/14,231.9,198.8,269.2
35-64 years,Females,Central Coast LHD,14/15,197.6,167.2,232.2
35-64 years,Females,Central Coast LHD,15/16,260.8,225.6,300.1
35-64 years,Females,Central Coast LHD,16/17,241,207.3,279
35-64 years,Females,Central Coast LHD,17/18,224.3,191.9,260.7
35-64 years,Females,Central Coast LHD,18/19,239.5,206.2,277
35-64 years,Females,Central Coast LHD,19/20,218,186.7,253.3
35-64 years,Females,Central Coast LHD,20/21,175.4,147.7,207.1
35-64 years,Females,Central Coast LHD,21/22,150.3,124.9,179.7
35-64 years,Females,Hunter New England LHD,01/02,147.5,129.5,167.2
35-64 years,Females,Hunter New England LHD,02/03,170.1,151.1,191
35-64 years,Females,Hunter New England LHD,03/04,168.6,149.8,189.1
35-64 years,Females,Hunter New England LHD,04/05,141.6,124.7,160.4
35-64 years,Females,Hunter New England LHD,05/06,136.6,120.1,154.9
35-64 years,Females,Hunter New England LHD,06/07,155.5,137.8,174.7
35-64 years,Females,Hunter New England LHD,07/08,182.4,163.7,202.8
35-64 years,Females,Hunter New England LHD,08/09,172.8,154.7,192.5
35-64 years,Females,Hunter New England LHD,09/10,181.6,162.9,201.8
35-64 years,Females,Hunter New England LHD,10/11,200.4,180.9,221.6
35-64 years,Females,Hunter New England LHD,11/12,191.5,172.8,211.8
35-64 years,Females,Hunter New England LHD,12/13,208.3,188.6,229.5
35-64 years,Females,Hunter New England LHD,13/14,186.9,168.3,207
35-64 years,Females,Hunter New England LHD,14/15,182.7,164.3,202.7
35-64 years,Females,Hunter New England LHD,15/16,167.8,150.5,186.8
35-64 years,Females,Hunter New England LHD,16/17,203,184.1,223.5
35-64 years,Females,Hunter New England LHD,17/18,208.8,189.3,229.8
35-64 years,Females,Hunter New England LHD,18/19,198.4,179.6,218.8
35-64 years,Females,Hunter New England LHD,19/20,167.8,150.7,186.5
35-64 years,Females,Hunter New England LHD,20/21,105.3,91.9,120.3
35-64 years,Females,Hunter New England LHD,21/22,122.8,108.4,138.6
35-64 years,Females,Northern NSW LHD,01/02,157.3,125.9,194.1
35-64 years,Females,Northern NSW LHD,02/03,180.3,147.4,218.5
35-64 years,Females,Northern NSW LHD,03/04,211.7,176.4,252.2
35-64 years,Females,Northern NSW LHD,04/05,178.7,146.8,215.5
35-64 years,Females,Northern NSW LHD,05/06,191.2,158.8,228.6
35-64 years,Females,Northern NSW LHD,06/07,140.9,113.7,172.8
35-64 years,Females,Northern NSW LHD,07/08,136.3,109.7,167.5
35-64 years,Females,Northern NSW LHD,08/09,178.7,148.1,214.1
35-64 years,Females,Northern NSW LHD,09/10,201.4,169.3,237.9
35-64 years,Females,Northern NSW LHD,10/11,212.8,180.3,249.7
35-64 years,Females,Northern NSW LHD,11/12,222.5,189.1,260.4
35-64 years,Females,Northern NSW LHD,12/13,251.5,216.5,290.8
35-64 years,Females,Northern NSW LHD,13/14,234.2,200.5,272.3
35-64 years,Females,Northern NSW LHD,14/15,182.6,153.2,216.4
35-64 years,Females,Northern NSW LHD,15/16,165.2,137.7,197
35-64 years,Females,Northern NSW LHD,16/17,191.2,161.6,225
35-64 years,Females,Northern NSW LHD,17/18,218.3,185.8,255.3
35-64 years,Females,Northern NSW LHD,18/19,238.9,205.4,276.8
35-64 years,Females,Northern NSW LHD,19/20,221.2,189.6,257.1
35-64 years,Females,Northern NSW LHD,20/21,152.6,126.2,183.3
35-64 years,Females,Northern NSW LHD,21/22,171,142.9,203.5
35-64 years,Females,Mid North Coast LHD,01/02,267.3,219.8,322.1
35-64 years,Females,Mid North Coast LHD,02/03,229.2,186.1,279.5
35-64 years,Females,Mid North Coast LHD,03/04,249.9,205.1,301.8
35-64 years,Females,Mid North Coast LHD,04/05,192.8,154.7,237.8
35-64 years,Females,Mid North Coast LHD,05/06,193.4,156.2,237.2
35-64 years,Females,Mid North Coast LHD,06/07,166.3,131.8,207.4
35-64 years,Females,Mid North Coast LHD,07/08,212,173.1,257.5
35-64 years,Females,Mid North Coast LHD,08/09,245.1,203.4,293.3
35-64 years,Females,Mid North Coast LHD,09/10,197,159.6,241
35-64 years,Females,Mid North Coast LHD,10/11,222.5,182.4,269.2
35-64 years,Females,Mid North Coast LHD,11/12,237.3,196.8,284.2
35-64 years,Females,Mid North Coast LHD,12/13,249.8,208.3,297.6
35-64 years,Females,Mid North Coast LHD,13/14,253.4,212.5,300.6
35-64 years,Females,Mid North Coast LHD,14/15,255.7,214.4,303.3
35-64 years,Females,Mid North Coast LHD,15/16,258.2,217.3,305.3
35-64 years,Females,Mid North Coast LHD,16/17,198.7,164.1,239.5
35-64 years,Females,Mid North Coast LHD,17/18,235.7,197.7,279.8
35-64 years,Females,Mid North Coast LHD,18/19,232.3,194.5,276.2
35-64 years,Females,Mid North Coast LHD,19/20,266.6,226.2,313
35-64 years,Females,Mid North Coast LHD,20/21,263,220.7,311.5
35-64 years,Females,Mid North Coast LHD,21/22,170.6,137.9,209.5
35-64 years,Females,Southern NSW LHD,01/02,203.2,160.8,253.7
35-64 years,Females,Southern NSW LHD,02/03,174.8,136.2,221.3
35-64 years,Females,Southern NSW LHD,03/04,130.7,98,171.1
35-64 years,Females,Southern NSW LHD,04/05,189.2,150.3,235.4
35-64 years,Females,Southern NSW LHD,05/06,143.1,110.3,183.1
35-64 years,Females,Southern NSW LHD,06/07,165.9,131.4,207.3
35-64 years,Females,Southern NSW LHD,07/08,169.8,134.7,211.7
35-64 years,Females,Southern NSW LHD,08/09,226.1,185.9,272.9
35-64 years,Females,Southern NSW LHD,09/10,246.8,204.2,296.1
35-64 years,Females,Southern NSW LHD,10/11,155.9,122.8,195.7
35-64 years,Females,Southern NSW LHD,11/12,221.3,180.6,268.9
35-64 years,Females,Southern NSW LHD,12/13,166.7,133.3,206.6
35-64 years,Females,Southern NSW LHD,13/14,185.8,150.3,227.7
35-64 years,Females,Southern NSW LHD,14/15,143.8,112.6,181.5
35-64 years,Females,Southern NSW LHD,15/16,117.6,88.7,153.3
35-64 years,Females,Southern NSW LHD,16/17,156.3,123.1,196.2
35-64 years,Females,Southern NSW LHD,17/18,249.7,207.8,298.2
35-64 years,Females,Southern NSW LHD,18/19,253.2,210,303.1
35-64 years,Females,Southern NSW LHD,19/20,165,131.8,204.6
35-64 years,Females,Southern NSW LHD,20/21,131.1,101.4,167.3
35-64 years,Females,Southern NSW LHD,21/22,115.8,87.8,150.5
35-64 years,Females,Murrumbidgee LHD,01/02,237,194.7,286
35-64 years,Females,Murrumbidgee LHD,02/03,306.6,259.1,360.5
35-64 years,Females,Murrumbidgee LHD,03/04,238.1,196.1,286.6
35-64 years,Females,Murrumbidgee LHD,04/05,281.1,235.9,332.7
35-64 years,Females,Murrumbidgee LHD,05/06,238.7,197.6,286.1
35-64 years,Females,Murrumbidgee LHD,06/07,207.3,169.5,251.3
35-64 years,Females,Murrumbidgee LHD,07/08,245.4,203.9,293
35-64 years,Females,Murrumbidgee LHD,08/09,233.8,194,279.8
35-64 years,Females,Murrumbidgee LHD,09/10,261.3,219,309.7
35-64 years,Females,Murrumbidgee LHD,10/11,245.1,204.1,292.3
35-64 years,Females,Murrumbidgee LHD,11/12,247.4,206.8,294.1
35-64 years,Females,Murrumbidgee LHD,12/13,279.4,235.6,329.5
35-64 years,Females,Murrumbidgee LHD,13/14,302,256.4,353.6
35-64 years,Females,Murrumbidgee LHD,14/15,298.7,253.8,349.7
35-64 years,Females,Murrumbidgee LHD,15/16,293.1,247.2,345.3
35-64 years,Females,Murrumbidgee LHD,16/17,336.4,287.7,391.3
35-64 years,Females,Murrumbidgee LHD,17/18,282.4,239.6,331.3
35-64 years,Females,Murrumbidgee LHD,18/19,295.2,250.7,345.9
35-64 years,Females,Murrumbidgee LHD,19/20,250.5,209.2,297.9
35-64 years,Females,Murrumbidgee LHD,20/21,189.3,154.2,230.6
35-64 years,Females,Murrumbidgee LHD,21/22,226,186.7,271.6
35-64 years,Females,Western NSW LHD,01/02,432.1,377.4,492.6
35-64 years,Females,Western NSW LHD,02/03,307.9,262.3,359.2
35-64 years,Females,Western NSW LHD,03/04,373.2,323.2,428.8
35-64 years,Females,Western NSW LHD,04/05,333.3,286.7,385.5
35-64 years,Females,Western NSW LHD,05/06,375.8,326.4,430.9
35-64 years,Females,Western NSW LHD,06/07,358.3,310.4,411.8
35-64 years,Females,Western NSW LHD,07/08,335,289.2,386.4
35-64 years,Females,Western NSW LHD,08/09,312.4,268.4,361.9
35-64 years,Females,Western NSW LHD,09/10,320.2,276.3,369.5
35-64 years,Females,Western NSW LHD,10/11,348.4,301.3,400.9
35-64 years,Females,Western NSW LHD,11/12,307,263,356.5
35-64 years,Females,Western NSW LHD,12/13,315,271.3,364.1
35-64 years,Females,Western NSW LHD,13/14,325.8,281.2,375.7
35-64 years,Females,Western NSW LHD,14/15,338.2,292.6,389.2
35-64 years,Females,Western NSW LHD,15/16,283.5,242.3,330
35-64 years,Females,Western NSW LHD,16/17,313.3,269.9,362.2
35-64 years,Females,Western NSW LHD,17/18,409.4,359.4,464.7
35-64 years,Females,Western NSW LHD,18/19,358.2,311.4,410.4
35-64 years,Females,Western NSW LHD,19/20,318.4,274.9,367.3
35-64 years,Females,Western NSW LHD,20/21,321.8,277.8,371.2
35-64 years,Females,Western NSW LHD,21/22,258.3,219.2,302.7
35-64 years,Females,Far West LHD,01/02,307.7,190.3,471.3
35-64 years,Females,Far West LHD,02/03,376.4,245.6,553.1
35-64 years,Females,Far West LHD,03/04,147.3,70.5,272.4
35-64 years,Females,Far West LHD,04/05,207.6,115.9,345.6
35-64 years,Females,Far West LHD,05/06,264.9,158.7,417.5
35-64 years,Females,Far West LHD,06/07,348.3,224.3,518.5
35-64 years,Females,Far West LHD,07/08,233.2,132.3,382.5
35-64 years,Females,Far West LHD,08/09,274.5,161.2,437.2
35-64 years,Females,Far West LHD,09/10,257.7,151.7,412
35-64 years,Females,Far West LHD,10/11,208,114.9,349.5
35-64 years,Females,Far West LHD,11/12,244.9,145.6,391.4
35-64 years,Females,Far West LHD,12/13,322.7,204.6,488.8
35-64 years,Females,Far West LHD,13/14,305,186.1,474.8
35-64 years,Females,Far West LHD,14/15,278.4,162.2,448.4
35-64 years,Females,Far West LHD,15/16,284.5,176.4,441.8
35-64 years,Females,Far West LHD,16/17,435.6,289.5,633.7
35-64 years,Females,Far West LHD,17/18,493.6,336.2,703.3
35-64 years,Females,Far West LHD,18/19,379.9,240.5,573.9
35-64 years,Females,Far West LHD,19/20,408,270.4,597.2
35-64 years,Females,Far West LHD,20/21,272.5,161.6,436.8
35-64 years,Females,Far West LHD,21/22,148.5,68.5,286.5
35-64 years,Females,All LHDs,01/02,144.1,137.5,150.9
35-64 years,Females,All LHDs,02/03,143,136.6,149.7
35-64 years,Females,All LHDs,03/04,143.4,137,149.9
35-64 years,Females,All LHDs,04/05,137.3,131.2,143.7
35-64 years,Females,All LHDs,05/06,130.8,124.9,136.9
35-64 years,Females,All LHDs,06/07,130.7,124.8,136.7
35-64 years,Females,All LHDs,07/08,134.3,128.4,140.3
35-64 years,Females,All LHDs,08/09,140.1,134.2,146.2
35-64 years,Females,All LHDs,09/10,147.6,141.5,153.8
35-64 years,Females,All LHDs,10/11,143.9,138,150
35-64 years,Females,All LHDs,11/12,151.1,145.1,157.3
35-64 years,Females,All LHDs,12/13,147,141.2,153.1
35-64 years,Females,All LHDs,13/14,151.7,145.8,157.8
35-64 years,Females,All LHDs,14/15,143.5,137.7,149.4
35-64 years,Females,All LHDs,15/16,141.1,135.4,146.9
35-64 years,Females,All LHDs,16/17,151.9,146.1,158
35-64 years,Females,All LHDs,17/18,158.3,152.3,164.4
35-64 years,Females,All LHDs,18/19,149.5,143.8,155.5
35-64 years,Females,All LHDs,19/20,137,131.6,142.7
35-64 years,Females,All LHDs,20/21,102.7,98,107.6
35-64 years,Females,All LHDs,21/22,95.8,91.3,100.5
35-64 years,Persons,Sydney LHD,01/02,112.2,97.2,128.9
35-64 years,Persons,Sydney LHD,02/03,111.1,96.3,127.6
35-64 years,Persons,Sydney LHD,03/04,121.9,106.4,139
35-64 years,Persons,Sydney LHD,04/05,127.3,111.6,144.5
35-64 years,Persons,Sydney LHD,05/06,109.8,95.5,125.6
35-64 years,Persons,Sydney LHD,06/07,93,80.1,107.3
35-64 years,Persons,Sydney LHD,07/08,106.5,92.9,121.5
35-64 years,Persons,Sydney LHD,08/09,121.5,107.2,137.3
35-64 years,Persons,Sydney LHD,09/10,113.2,99.5,128.3
35-64 years,Persons,Sydney LHD,10/11,99,86.3,113
35-64 years,Persons,Sydney LHD,11/12,100.1,87.4,114.1
35-64 years,Persons,Sydney LHD,12/13,105.3,92.4,119.5
35-64 years,Persons,Sydney LHD,13/14,110.1,97.1,124.5
35-64 years,Persons,Sydney LHD,14/15,87.2,75.7,99.9
35-64 years,Persons,Sydney LHD,15/16,104.3,91.8,118
35-64 years,Persons,Sydney LHD,16/17,101.7,89.5,115
35-64 years,Persons,Sydney LHD,17/18,101.4,89.4,114.6
35-64 years,Persons,Sydney LHD,18/19,94.2,82.7,106.8
35-64 years,Persons,Sydney LHD,19/20,85.1,74.3,97
35-64 years,Persons,Sydney LHD,20/21,62.8,53.6,73.2
35-64 years,Persons,Sydney LHD,21/22,44.5,36.8,53.2
35-64 years,Persons,South Western Sydney LHD,01/02,159.5,145,175.1
35-64 years,Persons,South Western Sydney LHD,02/03,145.8,132.1,160.5
35-64 years,Persons,South Western Sydney LHD,03/04,147.7,134,162.3
35-64 years,Persons,South Western Sydney LHD,04/05,147.8,134.3,162.4
35-64 years,Persons,South Western Sydney LHD,05/06,139,126.1,152.9
35-64 years,Persons,South Western Sydney LHD,06/07,133.4,121.1,146.8
35-64 years,Persons,South Western Sydney LHD,07/08,141.4,128.9,154.9
35-64 years,Persons,South Western Sydney LHD,08/09,126.7,115,139.2
35-64 years,Persons,South Western Sydney LHD,09/10,125.2,113.8,137.5
35-64 years,Persons,South Western Sydney LHD,10/11,106.9,96.5,118.1
35-64 years,Persons,South Western Sydney LHD,11/12,134.5,123,146.9
35-64 years,Persons,South Western Sydney LHD,12/13,113.9,103.4,125.2
35-64 years,Persons,South Western Sydney LHD,13/14,114.6,104.2,125.8
35-64 years,Persons,South Western Sydney LHD,14/15,113.3,103,124.4
35-64 years,Persons,South Western Sydney LHD,15/16,120.4,109.7,131.9
35-64 years,Persons,South Western Sydney LHD,16/17,112.8,102.7,123.6
35-64 years,Persons,South Western Sydney LHD,17/18,121.8,111.4,133
35-64 years,Persons,South Western Sydney LHD,18/19,122.3,112,133.3
35-64 years,Persons,South Western Sydney LHD,19/20,92.6,83.8,102.2
35-64 years,Persons,South Western Sydney LHD,20/21,59.5,52.5,67.2
35-64 years,Persons,South Western Sydney LHD,21/22,60.1,53.1,67.8
35-64 years,Persons,South Eastern Sydney LHD,01/02,89.3,78.7,100.8
35-64 years,Persons,South Eastern Sydney LHD,02/03,74.5,65.1,85
35-64 years,Persons,South Eastern Sydney LHD,03/04,77.4,67.8,88
35-64 years,Persons,South Eastern Sydney LHD,04/05,84.6,74.6,95.5
35-64 years,Persons,South Eastern Sydney LHD,05/06,84.8,74.9,95.6
35-64 years,Persons,South Eastern Sydney LHD,06/07,66.8,58.2,76.3
35-64 years,Persons,South Eastern Sydney LHD,07/08,67.1,58.6,76.5
35-64 years,Persons,South Eastern Sydney LHD,08/09,64.5,56.2,73.7
35-64 years,Persons,South Eastern Sydney LHD,09/10,56.8,49.2,65.4
35-64 years,Persons,South Eastern Sydney LHD,10/11,58.2,50.4,66.9
35-64 years,Persons,South Eastern Sydney LHD,11/12,75.5,66.5,85.3
35-64 years,Persons,South Eastern Sydney LHD,12/13,58.4,50.7,67.1
35-64 years,Persons,South Eastern Sydney LHD,13/14,54,46.6,62.1
35-64 years,Persons,South Eastern Sydney LHD,14/15,61.6,53.8,70.3
35-64 years,Persons,South Eastern Sydney LHD,15/16,61.1,53.4,69.7
